DocumentID,NameInExport,DisplayName,ActiveRevision
916,"Z-Wave Host API Specification/Z-Wave Host API Specification.pdf","Z-Wave Host API Specification/Z-Wave Host API Specification.pdf","Z-Wave Host API Specification/ZWA_Z-Wave Host_API_ Specification_SPE_0.7.2.pdf"
897,"Z-Wave Long Range Specifications/Z-Wave and Z-Wave Long Range Network Layer Specification","Z-Wave Long Range Specifications/Z-Wave and Z-Wave Long Range Network Layer Specification.pdf","Z-Wave Long Range Specifications/Z-Wave and Z-Wave Long Range Network Layer Specification"
898,"Z-Wave Long Range Specifications/Z-Wave Long Range MAC Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave Long Range MAC Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave Long Range MAC Layer Test Specification_SPEv1.0.pdf"
899,"Z-Wave Long Range Specifications/Z-Wave Long Range Network Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave Long Range Network Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave Long Range Network Layer Test Specification_SPEv1.0.pdf"
900,"Z-Wave Long Range Specifications/Z-Wave Long Range PHY Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave Long Range PHY Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave Long Range PHY Layer Test Specification_SPEv1.0.pdf"
901,"Z-Wave Long Range Specifications/Z-Wave MAC Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave MAC Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave MAC Layer Test Specification_SPEv1.0.pdf"
902,"Z-Wave Long Range Specifications/Z-Wave PHY Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave PHY Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave PHY Layer Test Specification_SPEv1.0.pdf"
905,"Z-Wave Long Range Specifications/Z-Wave Long Range PHY and MAC Layer Specification.pdf","Z-Wave Long Range Specifications/Z-Wave Long Range PHY and MAC Layer Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave Long Range PHY and MAC Layer Specification_SPEv1.0.pdf"
1007,"Z-Wave Long Range Specifications/Z-Wave Network Layer Test Specification.pdf","Z-Wave Long Range Specifications/Z-Wave Network Layer Test Specification.pdf","Z-Wave Long Range Specifications/ZWA_Z-Wave Network Layer Test Specification_SPE_1.0.pdf"
644,"SmartStart Specifications/Node Provisioning Information Type Registry.pdf","SmartStart Specifications/Node Provisioning Information Type Registry.pdf","SmartStart Specifications/Node Provisioning Information Type Registry 11.0.pdf"
